"","gender_13","age_13","manager_13","func_13","annual_salary_13","bonus_13","gender_14","age_14","manager_14","func_14","annual_salary_14","bonus_14","num_email_total","num_targets_total","num_words_total","num_warmth_words_total","num_competence_words_total","per_warmth_total","per_competence_total","num_weekday_total","num_weekend_total","num_email_within","num_targets_within","num_words_within","num_warmth_words_within","num_competence_words_within","per_warmth_within","per_competence_within","num_email_across","num_targets_across","num_words_across","num_warmth_words_across","num_competence_words_across","per_warmth_across","per_competence_across","company_13","company_14"
"1",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,25,12,541,21,27,0.0388170055452865,0.0499075785582255,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,64,19,1470,49,106,0.0333333333333333,0.072108843537415,54,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1,57,0,"Sourcing",72065.95,7206.595,1,59,0,"Manufacturing Professionals",74011.73,7401.17,1,1,29,0,2,0,0.0689655172413793,1,0,1,1,29,0,2,0,0.0689655172413793,NA,NA,NA,NA,NA,NA,NA,"Standard","Standard"
"4",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,9,3,260,9,10,0.0346153846153846,0.0384615384615385,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,"",76992.55,23097.765,NA,NA,NA,"",95786.44,33525.25,85,22,2575,105,152,0.0407766990291262,0.0590291262135922,84,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,"",NA,NA,NA,NA,NA,"",54999.88,8249.98,48,16,2090,84,112,0.0401913875598086,0.0535885167464115,43,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,"",84632.04,8463.204,NA,NA,NA,"",86747.84,8674.78,8,6,392,14,14,0.0357142857142857,0.0357142857142857,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,33,9,1869,79,108,0.0422685928303906,0.057784911717496,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,1,1,23,4,1,0.173913043478261,0.0434782608695652,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,160,30,4967,239,325,0.0481175760016106,0.0654318502113952,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,NA,NA,"",29036.8,1161.472,1,39,0,"Customer Service",30347.2,1213.89,98,29,2218,35,176,0.0157799819657349,0.0793507664562669,98,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Luxury"
"12",NA,NA,0,"Corporate Finance",48864.82,0,0,39,0,"Corporate Finance",50330.76,NA,78,26,2754,45,165,0.0163398692810458,0.0599128540305011,78,0,68,24,2509,43,147,0.0171383021123954,0.0585890793144679,NA,NA,NA,NA,NA,NA,NA,"Standard","Standard"
"13",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,78,19,1583,74,76,0.0467466835123184,0.0480101073910297,62,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,"",53354.4,5335.44,NA,NA,NA,"",53354.4,NA,42,14,847,30,55,0.0354191263282172,0.0649350649350649,40,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,10,7,21,10,0,0.476190476190476,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",0,44,0,"Corporate Finance",52327.57,2616.3785,0,45,0,"Corporate Finance",53897.4,2694.87,107,31,2264,40,114,0.0176678445229682,0.0503533568904594,107,0,87,20,1831,32,93,0.0174767886400874,0.050791916985254,NA,NA,NA,NA,NA,NA,NA,"Standard","Standard"
"17",1,31,0,"Global Product Development",36961.6,1478.464,1,32,0,"Global Product Development",39993.98,1599.76,24,10,1121,36,47,0.032114183764496,0.0419268510258698,24,0,21,8,990,29,39,0.0292929292929293,0.0393939393939394,NA,NA,NA,NA,NA,NA,NA,"Luxury","Luxury"
"18",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,181,39,4173,245,299,0.0587107596453391,0.0716510903426791,174,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,2,2,10,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,7,5,179,6,19,0.0335195530726257,0.106145251396648,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,NA,"",54486.9,13621.725,NA,NA,NA,"",54486.9,19070.42,96,26,2600,122,133,0.0469230769230769,0.0511538461538462,89,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1,48,0,"Sourcing",78905.64,7890.564,1,50,0,"Manufacturing Professionals",93200.25,9320.03,58,11,1294,78,61,0.0602782071097372,0.0471406491499227,57,1,42,9,778,50,34,0.06426735218509,0.0437017994858612,NA,NA,NA,NA,NA,NA,NA,"Standard","Standard"
"23",NA,NA,NA,"",49431.76,4943.176,NA,NA,NA,"",51903.35,NA,63,23,2245,78,119,0.0347438752783964,0.0530066815144766,62,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,3,2,269,8,18,0.0297397769516729,0.0669144981412639,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1,49,0,"Sourcing",69181.02,6918.102,1,51,0,"Strategic Logistic Solutions (SLS)",71187.27,7118.73,50,18,1203,44,43,0.0365752285951787,0.0357439733998337,50,0,41,12,1028,33,37,0.0321011673151751,0.0359922178988327,2,1,42,4,0,0.0952380952380952,0,"Standard","Standard"
"26",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,3,2,69,2,2,0.0289855072463768,0.0289855072463768,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,2,2,18,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",0,53,0,"Corporate Finance",43855.28,0,0,54,0,"Accounting",45170.94,NA,54,17,1987,62,82,0.031202818319074,0.0412682435832914,54,0,53,16,1959,59,81,0.0301174068402246,0.0413476263399694,NA,NA,NA,NA,NA,NA,NA,"Standard","Standard"
"29",0,55,0,"Customer Service",28204.8,1128.192,0,57,0,"Customer Service",29057.6,1162.3,127,42,6421,292,369,0.0454757825883819,0.0574676841613456,122,5,91,32,4902,216,289,0.0440636474908201,0.0589555283557732,NA,NA,NA,NA,NA,NA,NA,"Luxury","Luxury"
